to_consider,to_delete,Uber (x = filter out),|__question_id,|__file_name,|__question,|__answer,|__options__a,|__options__b,|__options__c,|__options__d,FINAL Difficulty,Image URL,Image Source
x,,,IQ263,question263,What state is this?,California,California,Vermont,Rhode Island,Colorado,Very Easy,https://drive.google.com/open?id=1Cn1t-eD-_YJx6yfjo8jlgyQELdPNGQpJ&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,N/A
x,,,IQ264,question264,What state is this?,Pennsylvania,North Dakota,Pennsylvania,Oklahoma,Utah,Easy,https://drive.google.com/open?id=1S9P51PssM8zadZhNoAi6Z_92Kx6gy5oz&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,N/A
x,,,IQ265,question265,What state is this?,Tennessee,North Carolina,Kansas,Oregon,Tennessee,Medium,https://drive.google.com/open?id=1Cc7na67XI4owRPktDNRwAz81Cd4R9Xfe&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,N/A
x,,,IQ266,question266,What state is this?,Minnesota,Connecticut,Massachusetts,Minnesota,Michigan,Hard,https://drive.google.com/open?id=1CjqyHFyvuH4G8wAJAUvFq95apHgh1a7h&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,N/A
x,,,IQ267,question267,What state is this?,Missouri,Missouri,Mississippi,Maryland,Maine,Hard,https://drive.google.com/open?id=1Co6PGnJ6tZigB_VQayv9WK79GURHRG_p&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,N/A
x,,,IQ268,question268,What state is this?,Nebraska,New Mexico,Nebraska,New York,New Jersey,Easy,https://drive.google.com/open?id=1Cg0S0p5TIOn2Fie7Pr-MOt4PnX4wrebe&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,N/A
x,,,IQ269,question269,What is the name of this planet?,Mercury,Mercury,Jupiter,Mars,Saturn,Hard,https://drive.google.com/open?id=1RhTmfWhERcp2Ruz09zDt5Y_VI8Pb4twf&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ270,question270,What is the name of this planet?,Venus,Mars,Venus,Neptune,Earth,Hard,https://drive.google.com/open?id=1RleIQRc5bk12yqwh8jVqgNxvj2tm8ONn&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ271,question271,What is the name of this planet?,Uranus,Mercury,Saturn,Uranus,Mars,Hard,https://drive.google.com/open?id=1RZ5A7gSVSMi9voXIXcuP24hIlVNVcyQf&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ272,question272,What is the name of this planet?,Neptune,Jupiter,Venus,Mars,Neptune,Easy,https://drive.google.com/open?id=1RSJhUMLDiWM2dYRiAflua0aQZRZZuf7H&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ301,question301,What shape is this?,Pentagon,Enneagram,Pentagon,Decagon,Stadium,Easy,https://drive.google.com/open?id=1HGF4SuBKoc9En7yk6tKZ5MmTgLxdvxN2&authuser=domenica.esparza@playoctopus.com&usp=drive_fs,N/A
x,,,IQ302,question302,What shape is this?,Heptagon,Circle,Heptagon,Vesica Piscis,Heptagram,Medium,https://drive.google.com/open?id=1HAUc7d7tSOAJL0EWvajs8em8c_XVWGR0&authuser=domenica.esparza@playoctopus.com&usp=drive_fs,N/A
x,,,IQ303,question303,What shape is this?,Nonagon,Nonagon,Triquetra,Decagon,Octagon,Hard,https://drive.google.com/open?id=1HHUHOkCKlxxbpqqzooStJu9OP5nRqAm9&authuser=domenica.esparza@playoctopus.com&usp=drive_fs,N/A
x,,,IQ304,question304,What shape is this?,Decagon,Balbis,Decagon,Salbis,Nonagon,Hard,https://drive.google.com/open?id=1HNWg_4f_ig0ZyVhgd8dtCBreU45cLnO-&authuser=domenica.esparza@playoctopus.com&usp=drive_fs,N/A
x,,,IQ305,question305,What shape is this?,Rhombus,Rhombus,Triquetra,Trapezium,Stadium,Easy,https://drive.google.com/open?id=1UZQnyuGchuMZosrDuhuYPmcLUU-z0jGD&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,N/A
x,,,IQ306,question306,What shape is this?,Kite,Square,Kite,Vesica Piscis,Enneagram,Easy,https://drive.google.com/open?id=1UZUkCbtCXfAg3n4wvYPbrgLy_4qoxxop&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,N/A
x,,,IQ307,question307,What shape is this?,Parallelogram ,Rectangle,Vesica Piscis,Parallelogram ,Stadium,Easy,https://drive.google.com/open?id=1UXo6jEtlha638TmTF4idBkOlDM2Oo0By&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,N/A
x,,,IQ308,question308,What shape is this?,Trapezoid,Enneagram,Decagon,Rectangle,Trapezoid,Very Easy,https://drive.google.com/open?id=1UXOPoASLwoFrKLiB_Qkda3Y_dodAHo49&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,N/A
x,,,IQ321,question321,Where is this located?,Sydney,Sydney,Moscow,Tokyo,Seoul,Very Easy,https://drive.google.com/open?id=1J6K6Ky7owvL7x4n9DXrmyTi_yoDsNgc2&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ322,question322,Where is this located?,California,Texas,California,New York,Cambridge,Hard,https://drive.google.com/open?id=1J7CgDRGgE_7jETEnV4IFxG7GXVst8rq9&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ323,question323,Where is this located?,Paris,Rome,Vienna,Paris,London,Easy,https://drive.google.com/open?id=1JBCnYZLUwxitnNKzDzpMylp1Huqj1aBz&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ324,question324,Where is this located?,Singapore,Hong Kong,Seoul,Tokyo,Singapore,Hard,https://drive.google.com/open?id=1JFtR9pweI3QfYFdWZnMmcqwL9A7NGzKF&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ344,question344,What is the name of this landmark?,The Great Pyramids of Giza,The Great Pyramids of Giza,Saqqara,Pyramid of Djoser,Menkaure,Very Easy,https://drive.google.com/open?id=1VSLbRWaIQgdODNXuEDoZUDZbIPIPPpgQ&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ345,question345,What is the name of this place?,Machu Picchu,Denali,Machu Picchu,Mount Fuji,Alps,Very Easy,https://drive.google.com/open?id=1VL_y2VhPe9ceeF2IjigK2WUXgGOcP2Fb&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ346,question346,What is the name of this place?,Mecca,Hegra,King Fahd's Fountain,Mecca,Masmak Fortress,Hard,https://drive.google.com/open?id=1VSi1JI3W1BKypXjqS7WTZ8SE9GRUs0UA&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ348,question348,What is the name of this place?,Petra,Petra,Mount Nebo,Roman Theatre,Kerak Castle,Hard,https://drive.google.com/open?id=1VGpf34RoPiV3OwXFRMcvI2ssnpLBRNIO&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ349,question349,What is the name of this place?,Abu Simbel,Great Sphinx of Giza,Abu Simbel,Valley of the Kings,Karnak,Hard,https://drive.google.com/open?id=1VQoiPwTgnbX2JoD3J8eyK98g8wAc91YD&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ350,question350,What is the name of this place?,Tower Bridge,Golden Gate Bridge,Big Ben,Tower Bridge,Mackinac Bridge,Easy,https://drive.google.com/open?id=1VFz4jtHSgyviDRj9sVv1CXLo2huvN_1o&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ396,question396,What is the name of this bridge?,Millau Bridge,Millau Bridge,Brooklyn Bridge,Rialto Bridge,Charles Bridge,Hard,https://drive.google.com/open?id=1WR7hdWRZ7qISK8ZViKSCIqUPrA6pRXeb&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ398,question398,What is the name of this place?,Las Vegas,New York,Paris,Las Vegas,Los Angeles,Easy,https://drive.google.com/open?id=1XLKifHzy4tq-4g_Qs088mbSM8vgKwYNa&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ401,question401,What is the name of this place?,Guggenheim Museum,Sistine Chapel,Guggenheim Museum,The Louvre,Tate Modern,Hard,https://drive.google.com/open?id=1Wxg2pJc_-vjop4R35O85ukkE1Z4KbWpC&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ403,question403,What is the name of this landmark?,Colosseum,Leaning Tower of Pisa,Trevi Fountain,Pantheon,Colosseum,Very Easy,https://drive.google.com/open?id=1WeZQdnX5lygrR6vDeDqwJcL2zYGabeXw&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ404,question404,Where is this landmark?,Los Angeles,Los Angeles,San Diego,San Francisco,San Jose,Very Easy,https://drive.google.com/open?id=1WRNYqvu11bJ8dso9ev8mpOdHF9G5pm9J&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ406,question406,What is the name of this landmark?,Gateway Arch,Tower Bridge,Machu Picchu,Gateway Arch,Stonehenge,Medium,https://drive.google.com/open?id=1XC0PmDh1KSobY_6ciBlYAeRA_p-cwiEa&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ407,question407,What is the name of this landmark?,Leaning Tower of Pisa,Eiffel Tower,Pisa Baptistery,Leaning Tower of Pisa,Washington Monument,Very Easy,https://drive.google.com/open?id=1WgWBUyo887cgWaDl2pDej6B-4CXakKi4&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ408,question408,What is the name of this landmark?,The Forbidden City,The Forbidden City,Buckingham Palace,Windsor Castle,Heian Palace,Hard,https://drive.google.com/open?id=1WpTF7r2VWWv96WsBReIqT-Yn_Oa0qy2L&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ409,question409,What is the name of this landmark?,United States Capitol,Washington Monument,United States Capitol,The White House,Lincoln Memorial,Very Easy,https://drive.google.com/open?id=1X6ImT9fPAeq9Kfj0YY85Y0fyG4HQ6zdL&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ410,question410,What is the name of this landmark?,Trevi Fountain,Crown Fountain,Friendship Fountain,Trevi Fountain,Bellagio Fountain,Easy,https://drive.google.com/open?id=1XLgyAFIAmfVPI8kZUnfvORIiRHG9gkPn&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ411,question411,What is the name of this landmark?,Times Square,Central Park,Empire State Building,Rockefeller Center,Times Square,Very Easy,https://drive.google.com/open?id=1XMj_0KBQRpsO1WRcHfs-nUdxT2TL-MGm&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ412,question412,What is the name of this landmark?,The White House,The White House,Washington Monument,Capitol Hill,Lincoln Memorial,Very Easy,https://drive.google.com/open?id=1XNJXshfIkFbeagd6JAMVWzjUUFHnQBHV&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ414,question414,What is the name of this landmark?,La Sagrada Familia,Westminster Abbey,Las Lajas Sanctuary,La Sagrada Familia,Hagia Sophia,Hard,https://drive.google.com/open?id=1XdXi41hVQ1JjUQazYvj5WfswsFxuITo8&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ415,question415,What is the name of this landmark?,Itsukushima Shrine,Itsukushima Shrine,Otofuke Shrine,Yudono Shrine,Tsukioka Shrine,Hard,https://drive.google.com/open?id=1ZfxsQDkMK3dlvin5v_if1Zr-V1OiuBf4&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ417,question417,What is the name of this landmark?,The Grand Canyon,Joshua Tree National Park,Olympic National Park,The Grand Canyon,Great Smoky Mountains,Very Easy,https://drive.google.com/open?id=1ZxESP5g5nlDXvBf8TC2PzlQNVXMqYvA3&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ418,question418,What is the name of this landmark?,Niagara Falls,Angel Falls,Iguazu Falls,Havasu Falls,Niagara Falls,Very Easy,https://drive.google.com/open?id=1Zxg8WjPtwtthB0C5pfK5BipX3Vw_iEkF&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ420,question420,What is the name of this landmark?,Space Needle,Tokyo Skytree,Space Needle,Shanghai Tower,Burj Khalifa,Easy,https://drive.google.com/open?id=1Zsxpr1piwxgxAsVFtkYso0uw-oHfToQW&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ422,question422,What is the name of this landmark?,The Gherkin,The Shard,City Hall,Heron Tower,The Gherkin,Hard,https://drive.google.com/open?id=1_-47f-dlh6gGnfV2niJGzJLvNczDKXs0&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ424,question424,What is the name of this landmark?,Hagia Sophia,La Sagrada Familia,Hagia Sophia,Westminster Abbey,St. Basil's Cathedral,Hard,https://drive.google.com/open?id=1_BHSRokM5obbz2fRdDTNWojS1aa3bHJ6&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ430,question430,Where is this located?,Kyoto,Tokyo,Hiroshima,Osaka,Kyoto,Hard,https://drive.google.com/open?id=1cflNhZAQLp1it4nebSe666gL7H0DNuha&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ431,question431,Where is this located?,Hiroshima,Hiroshima,Tokyo,Kyoto,Osaka,Hard,https://drive.google.com/open?id=1cZi0aRLwMo5UojzGdugFhMVpBORblHQb&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ432,question432,Where is this located?,Kyoto,Hiroshima,Kyoto,Osaka,Tokyo,Hard,https://drive.google.com/open?id=1cWcomBZDWtYoCgeteTgNa9e2Hy3bmTn5&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ433,question433,What is the name of this temple?,Kinkaku-ji,Todai-ji,Kiyomizu-dera,Kinkaku-ji,Senso-ji,Hard,https://drive.google.com/open?id=1cWLKhIbY4aXpaDKYyuRid6VNZ_At9Q7R&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ436,question436,What is the name of this castle?,Osaka Castle,Matsumoto Castle,Osaka Castle,Odawara Castle,Gifu Castle,Hard,https://drive.google.com/open?id=1cPLiDwpUqbSm1OULedsDYIS0BqjaIBND&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ439,question439,Who is this historical figure?,Albert Einstein,Albert Einstein,Neil Armstrong,Galileo Galilei,Adam Smith,Very Easy,https://drive.google.com/open?id=1cn2YeDZWX0n6fCQK0KhRBAnp26-Fwiuu&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ440,question440,Who is this historical figure?,Amelia Earhart,Agatha Christie,Amelia Earhart,Helen Keller,Marie Curie,Easy,https://drive.google.com/open?id=1cnJ2-VHn1iQEzZtXCEimLYqmMZGjxMSO&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ441,question441,Who is this historical figure?,Anne Frank,Ada Lovelace,Mother Teresa,Anne Frank,Agatha Christie,Easy,https://drive.google.com/open?id=1cuNlHdHoLrbEgmSWmg_xe3tze-_nXUPa&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ442,question442,Who is this historical figure?,Edgar Allan Poe,J. R. R. Tolkien,Walt Disney,William Shakespeare,Edgar Allan Poe,Easy,https://drive.google.com/open?id=1d1xyNpCn4b_-fxB_ciZ0syW_9mIPljBv&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ443,question443,Who is this historical figure?,Charles Dickens,Charles Dickens,Frederick Douglass,J. R. R. Tolkien,Edgar Allan Poe,Hard,https://drive.google.com/open?id=1d9OW1SVZDdLeuGRPp9RV2GqJf45yz3GI&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ444,question444,Who is this historical figure?,Elvis Presley,Marlon Brando,Elvis Presley,Anthony Quinn,Gene Kelly,Very Easy,https://drive.google.com/open?id=1dHzlU4mcfJXweaJ1HmtxamxR0Uec4t3U&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ445,question445,Who is this historical figure?,Helen Keller,Rosa Parks,Jane Austen,Helen Keller,Marie Curie,Hard,https://drive.google.com/open?id=1dLiY3iHzphdUMjavmIaSquArFNzGGeCS&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ446,question446,Who is this historical figure?,Isaac Newton,Isaac Newton,Niels Bohr,Charles Darwin,Alan Turing,Hard,https://drive.google.com/open?id=1dQRJHM5LEWPwwoFa2SZkvRB8nrN7ziXk&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ450,question450,Who is this historical figure?,Walt Disney,Walt Disney,Charles Dickens,Edgar Allan Poe,J. R. R. Tolkien,Medium,https://drive.google.com/open?id=1dgUoY0RzOiB7Ii2QVhBzXcGyWNaTldRK&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ451,question451,Who is this historical figure?,Frederick Douglass,Frederick Douglass,"Martin Luther King, Jr.",Mahatma Gandhi,Nikola Tesla,Hard,https://drive.google.com/open?id=1drXtyJtRvg-rrhu3YD6WCl5Tv4M3_yrQ&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ452,question452,Who is this historical figure?,Galileo Galilei,Galileo Galilei,Isaac Newton,Aristotle,Ptolemy,Hard,https://drive.google.com/open?id=1dvRu0y1YFX7LcHYTuKbJLmZWgyshumVT&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ453,question453,Who is this historical figure?,J. R. R. Tolkien,J. R. R. Tolkien,Walter Scott,Leo Tolstoy,F. Scott Fitzgerald,Hard,https://drive.google.com/open?id=1dw7fEyHeGXjfKWqRvQ2B4DM1MhfqnYhN&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ454,question454,Who is this historical figure?,"Martin Luther King, Jr.","Martin Luther King, Jr.",Frederick Douglass,Mahatma Gandhi,Nelson Mandela,Very Easy,https://drive.google.com/open?id=1dxRKZDI20EecTn3wapQrPt_mdRB5EP3e&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ455,question455,Who is this historical figure?,William Shakespeare,William Shakespeare,Charles Dickens,Leo Tolstoy,J. R. R. Tolkien,Easy,https://drive.google.com/open?id=1e2GLKjep9fsg4Efo7fGCtKYIa3bCx6lm&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ456,question456,Who is this historical figure?,Mahatma Gandhi,Mahatma Gandhi,Henry Hudson,Charles Darwin,Genghis Khan,Easy,https://drive.google.com/open?id=1e9vtapS99QYDGDA6epnQ7FbK3-v7NgYl&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ457,question457,Who is this historical figure?,Nikola Tesla,Galileo Galilei,Michael Faraday,Nikola Tesla,Nicolaus Copernicus,Hard,https://drive.google.com/open?id=1eAKrhWAyK-0Bvl3rfTgyGYRLlgWHbbIs&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ458,question458,Who is this historical figure?,Genghis Khan,Oda Nobunaga,Mahatma Gandhi,Sun Tzu,Genghis Khan,Hard,https://drive.google.com/open?id=1eHqsJEpnMWTFw1c2WoKu9i3VPvncSFuz&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ459,question459,Who is this historical figure?,Marie Curie,Marie Curie,Lucille Bell,Ada Lovelace,Helen Keller,Hard,https://drive.google.com/open?id=1eLHYTav4Lp6SzUd40HrnPnPoaBQsZRJe&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ463,question463,Who is this historical figure?,Stephen Hawking,Stephen Hawking,Albert Einstein,Charles Dickens,Isaac Newton,Easy,https://drive.google.com/open?id=1enuInN-8gdy4yCSoWDWH6Z-Fk0cw22UX&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ464,question464,What is the name of this painting?,American Gothic,American Gothic,Young Corn,Arbor Day,Fall Plowing,Hard,https://drive.google.com/open?id=1ZEk7Qn7D8IbSAqoShNqwfGowPwUbMsbe&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ465,question465,What is the name of this painting?,The Last Supper,Transfiguration,The Last Supper,Supper at Emmaus,The Sistine Madonna,Medium,https://drive.google.com/open?id=1ZF_uEuBmFN_IAwDgS9l-f0ZivvW9kcht&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ467,question467,What is the name of this painting?,Las Meninas,Rokeby Venus,Las Hilanderas,The Lunch,Las Meninas,Hard,https://drive.google.com/open?id=1Z_EG9Bp5MNaHSrjqQV34v7nqpEH3Y2kb&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ476,question476,Who is this historical figure?,Benjamin Franklin,Ronald Fisher,Benjamin Franklin,William Harvey,Isaac Newton,Easy,https://drive.google.com/open?id=1hO_17xtm5Tak6DN6ltsRyJ6bPWkecxhr&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ477,question477,Who is this historical figure?,Nicolaus Copernicus,Democritus,Anaximander,Nicolaus Copernicus,Galileo Galilei,Hard,https://drive.google.com/open?id=1hRuF2V7p66k-gUhCohhtbcxh2egVI5CC&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ479,question479,Who is this historical figure?,Grace Hopper,Grace Hopper,Emmy Noether,Florence Nightingale,Nettie Stevens,Hard,https://drive.google.com/open?id=1hWmHbQMlAlFQU1KMxCpDvOddcSj1Oa1_&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ481,question481,Who is this historical figure?,Rachel Carson,Grace Hopper,Jane Goodall,Rachel Carson,Emmy Noether,Hard,https://drive.google.com/open?id=1hhXgd4jvs38pstIT67RpnM1iBFChlJ_P&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ482,question482,Who is this historical figure?,Sally Ride,Rosalind Franklin,Marie Curie,Rachel Carson,Sally Ride,Hard,https://drive.google.com/open?id=1hhhmh0XW64PcKN05nIZ0LBye3cD78Mop&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ483,question483,Who is this historical figure?,Thomas Edison,Thomas Edison,Francis Crick,Albert Einstein,Ronald Fisher,Easy,https://drive.google.com/open?id=1hlSVmAfuPINe5Rd8VKR1OtIC4rpsoE4N&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ484,question484,Who is this historical figure?,Mozart,Antonio Vivaldi,Mozart,Walter Scott,Beethoven,Medium,https://drive.google.com/open?id=1hxeSwsqIqGaitp1AG6ky9IvAuUk-_zii&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ485,question485,Who is this historical figure?,Beethoven,Mozart,Antonio Vivaldi,Beethoven,Walter Scott,Medium,https://drive.google.com/open?id=1i1-k9zXQsxLqfoBNftJDYGdVBWyK5QMD&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ661,question661,What is the name of this plant?,Ivy,Lavender,Ivy,Palm,Rubber Fig,Medium,https://drive.google.com/file/d/1FhIR4QKxOvqoaKSdLlSomdtpsBj7jhNn/view?usp=sharing,Link
x,,,IQ662,question662,What is the name of this plant?,Lavender,Lavender,Cycad,Ivy,Baneberry,Hard,https://drive.google.com/file/d/1FiSh3sg8Z1XoWMEw7vPWwqviOQ9PL2ia/view?usp=sharing,Link
x,,,IQ696,question696,What country is this?,Romania,Finland,Romania,Ireland,Greece,Hard,https://drive.google.com/file/d/17CwpVQP5kDO9RW1p9aMW91N2Dw5RA6yQ/view?usp=sharing,N/A
x,,,IQ697,question697,What country is this?,Finland,Greece,Turkey,Finland,Germany,Hard,https://drive.google.com/file/d/17ErgpsPBTLXSyEB9bBiNp3gXdFu0k28A/view?usp=sharing,N/A
x,,,IQ698,question698,What country is this?,Ireland,Ireland,Switzerland,Ecuador,Norway,Medium,https://drive.google.com/file/d/17HBGDo4ZXUObdeaiKSTJMGMqU-TWxCuK/view?usp=sharing,N/A
x,,,IQ699,question699,What country is this?,Poland,Brazil,Finland,Greece,Poland,Hard,https://drive.google.com/file/d/17JtfxSja_3toAKGHvntfCc3HL32CfrYr/view?usp=sharing,N/A
x,,,IQ700,question700,What country is this?,Italy,Chile,Italy,Ireland,Norway,Easy,https://drive.google.com/file/d/16jx8Io1fLolfgWyvWOSxmbUkxSZR5Twa/view?usp=sharing,N/A
x,,,IQ701,question701,What country is this?,Greece,Greece,Croatia,Japan,Turkey,Medium,https://drive.google.com/file/d/16xJRRV-Mj5KjXTwEHLeuaV6yl_8u1l3p/view?usp=sharing,N/A
x,,,IQ702,question702,What country is this?,Switzerland,Argentina,France,Switzerland,Norway,Hard,https://drive.google.com/file/d/17KIho-SsJgseTEZOJ-eFSpcy9IZJRauX/view?usp=sharing,N/A
x,,,IQ703,question703,What country is this?,Germany,Norway,Romania,Ecuador,Germany,Hard,https://drive.google.com/file/d/17NkixWpgkd7P73KT0G_XTABGPvpRIe-n/view?usp=sharing,N/A
x,,,IQ704,question704,What country is this?,Norway,Finland,Turkey,Italy,Norway,Medium,https://drive.google.com/file/d/16p-rxoKuMrXqFtwWswI_5eatHw_C3y72/view?usp=sharing,N/A
x,,,IQ705,question705,What country is this?,France,France,Australia,Ireland,Switzerland,Easy,https://drive.google.com/file/d/17PD2Eig6adm0awf7WjjCVcc8-_mSTjsG/view?usp=sharing,N/A
x,,,IQ706,question706,What country is this?,Chile,Greece,Chile,Italy,Canada,Easy,https://drive.google.com/file/d/1722ldp7UM1EfnwolG71gt8X_72fUvvTc/view?usp=sharing,N/A
x,,,IQ707,question707,What country is this?,Brazil,Australia,Brazil,Ecuador,Argentina,Medium,https://drive.google.com/file/d/16nt9BzCww-iRu17_7IzcF1-Hl5zqh6ud/view?usp=sharing,N/A
x,,,IQ708,question708,What country is this?,Canada,France,Greece,Canada,Poland,Easy,https://drive.google.com/file/d/1719QtUahq7grWMfHv8UNSUm7D8fjBoZx/view?usp=sharing,N/A
x,,,IQ709,question709,What country is this?,Ecuador,Greece,Ecuador,Argentina,Brazil,Hard,https://drive.google.com/file/d/17PT33Ftk_ASKQvrr0bgeqL6lJZjX9nMT/view?usp=sharing,N/A
x,,,IQ710,question710,What country is this?,Australia,Brazil,Romania,Finland,Australia,Very Easy,https://drive.google.com/file/d/16gm--c1qh1sKh9afbnWC43v_SIx1N3Uc/view?usp=sharing,N/A
x,,,IQ711,question711,What country is this?,Argentina,Argentina,Chile,Norway,Italy,Hard,https://drive.google.com/file/d/16oS5zvaRXUvE04dfPHXGIZ0AV4lqO6mm/view?usp=sharing,N/A
x,,,IQ712,question712,What country is this?,Turkey,Germany,Romania,Turkey,Canada,Hard,https://drive.google.com/file/d/17QRFqmPaJefRJXUvtiM6GodC7sQXR4LP/view?usp=sharing,N/A
x,,,IQ715,question715,This animal is endemic to:,China,China,Nepal,Japan,South Korea,Very Easy,https://drive.google.com/file/d/10X1JyshP_74A1Q_ujU01qptzGF_JZzOt/view?usp=sharing,Link
x,,,IQ716,question716,What animal is this? ,Camel,Butterfly,Dog,Camel,Rat,Very Easy,https://drive.google.com/file/d/1SdldZZDt9S6KttzR2KmsOTQpUxPk8IiR/view?usp=sharing,Link
